Aarhus,AAR,Tirstrup
Zaranj,ZAJ,Zaranj
Zaria,ZAR,Zaria
Zephyrhills,ZPH,Zephyrhills
Zhanjiang,ZHA,Zhanjiang
Zhengzhou,CGO,Zhengzhou
Zhob,PZH,Zhob
Zhuhai,ZUH,Zhuhai Airport
Zielona Gora,IEG,Babimost
Ziguinchor,ZIG,Ziguinchor
Zilina,ILZ,Zilina
Zinder,ZND,Zinder
Zlin,GTW,Holesov
Zonguldak,ONQ,Zonguldak
Zunyi,ZYI,Zunyi
Zurich,ZRH,Zürich
Chicago,ORD,Ohare International
Hong Kong,HKG,Hong Kong International
Newark,EWR,Newark International Airport
Johannesburg,JNB,Johannesburg International
Allentown,ABE,Lehigh Valley International
Acapulco,ACA,General Juan N. Alvarez International
Baku,BAK,Heydar Aliyev International
Buffalo,BUF,Buffalo Niagara International
Nagoya,NGO,Central Japan International
London,YXU,London International Airport
Toronto,YZD,Downsview Airport
Hendersonville,0A7,Hendersonville Airport
Nice,NCE,Cote d'Azur International Airport
Sanaa,SAH,El Rahaba Airport (Sanaa Intenational),
Monastir,MIR,Habib Bourguiba,
Windhoek,WDH,Hosea Kutako International Airport,
St. Johns,YYT,St. John´s International Airport,
New Orleans,MSY,Louis Armstrong New Orleans International Airport,
Pittsburgh,PIT,Pittsburgh International Airport,
